generation,fitness
0,-0.0009
1,0.1180
2,0.1327
3,0.1381
4,0.1426
5,0.1421
6,0.1435
7,0.1453
8,0.1444
9,0.1480
10,0.1476
11,0.1488
12,0.1498
13,0.1547
14,0.1523
15,0.1512
16,0.1523
17,0.1546
18,0.1521
19,0.1550
20,0.1536
21,0.1582
22,0.1554
23,0.1548
24,0.1549
25,0.1555
26,0.1560
27,0.1575
28,0.1578
29,0.1566
30,0.1577
31,0.1583
32,0.1584
33,0.1622
34,0.1585
35,0.1594
36,0.1619
37,0.1602
38,0.1568
39,0.1622
40,0.1604
41,0.1614
42,0.1611
43,0.1622
44,0.1618
45,0.1622
46,0.1628
47,0.1642
48,0.1624
49,0.1606
50,0.1600
51,0.1602
52,0.1609
53,0.1571
54,0.1624
55,0.1613
56,0.1616
57,0.1625
58,0.1669
59,0.1603
60,0.1639
61,0.1624
62,0.1664
63,0.1686
64,0.1673
65,0.1649
66,0.1648
67,0.1683
68,0.1636
69,0.1695
70,0.1678
71,0.1668
72,0.1652
73,0.1701
74,0.1692
75,0.1672
76,0.1688
77,0.1669
78,0.1723
79,0.1642
80,0.1702
81,0.1695
82,0.1697
83,0.1701
84,0.1712
85,0.1716
86,0.1705
87,0.1694
88,0.1710
89,0.1732
90,0.1691
91,0.1706
92,0.1698
93,0.1717
94,0.1748
95,0.1708
96,0.1733
97,0.1693
98,0.1688
99,0.1709
