node_id,type,threshold,leak_factor,reset_potential,resting_potential,refractory_period
20,output,20,3,-5,0,2
21,output,26,3,-5,0,2
22,output,25,3,-6,0,2
23,output,12,3,-1,0,2
24,output,20,3,-5,0,2
25,output,10,2,-3,0,2
26,output,20,3,0,4,2
27,output,25,3,-5,0,2
28,output,20,4,-2,-4,2
29,hidden,20,3,-5,0,2
30,hidden,20,3,-5,0,2
31,hidden,17,3,-5,0,2
32,hidden,20,3,-4,0,2
33,hidden,20,3,-5,0,2
34,hidden,13,3,-5,-4,2
35,hidden,20,3,-9,0,2
36,hidden,15,3,-5,0,2
37,hidden,20,3,-10,0,2
38,hidden,20,3,-5,0,2
39,hidden,20,3,-5,0,2
40,hidden,13,3,-5,0,2
41,hidden,27,3,-5,0,2
42,hidden,20,3,-5,2,2
43,hidden,20,2,-5,0,2
44,hidden,20,3,-5,0,2
45,hidden,20,3,-5,0,2
46,hidden,20,3,-5,0,2
47,hidden,20,3,-5,0,2
48,hidden,20,3,-4,0,2
49,hidden,20,3,-7,0,2
50,hidden,20,3,-5,0,2
51,hidden,20,3,-5,0,2
52,hidden,20,3,-4,0,2
53,hidden,20,3,-5,0,2
54,hidden,14,3,-5,-3,2
55,hidden,17,3,-5,3,2
