source_node,target_node,weight
11,20,2
7,29,-109
17,29,82
29,24,-20
14,29,12
6,29,121
29,20,-103
7,29,-122
29,20,-45
17,29,79
4,29,37
30,20,-111
7,30,-109
30,20,-44
17,30,82
30,24,-20
15,30,-61
30,25,-106
15,30,-61
30,25,-106
31,20,5
13,32,-10
32,20,5
10,33,-124
33,26,2
6,30,87
30,28,-71
18,30,64
30,21,-69
10,30,-31
30,22,-13
17,30,-97
11,30,-127
30,22,-93
7,34,-83
34,20,-23
2,34,-14
6,34,-90
34,25,-81
0,34,48
8,34,89
34,20,-124
17,34,77
8,34,89
17,34,94
5,34,-127
16,34,49
34,20,-79
11,34,-127
34,22,-93
11,29,-127
29,22,-83
17,29,-56
29,28,-127
35,22,-19
5,35,109
35,25,-112
35,25,-17
8,35,70
19,36,-10
36,28,-111
7,33,-109
33,20,-44
17,33,82
33,20,-118
7,33,-109
33,20,-44
17,33,82
33,24,-20
15,33,-61
33,25,-106
15,33,-61
33,25,-106
33,20,81
7,33,-109
33,20,-44
17,33,82
33,20,-118
7,33,-109
33,20,-44
17,33,82
33,24,-20
15,33,-61
33,25,-106
15,33,-55
33,25,-106
13,31,-10
31,20,5
37,20,-118
7,37,-109
37,20,-44
17,37,82
37,24,-20
15,37,-61
37,25,-106
15,37,-61
37,25,-106
38,20,-118
7,38,-109
38,20,-44
17,38,82
38,24,-20
15,38,-61
38,25,-106
15,38,-61
38,25,-106
39,20,-118
7,39,-109
39,20,-44
17,39,82
39,24,-20
15,39,-61
39,25,-106
15,39,-61
39,25,-106
9,40,-13
6,40,87
40,28,-71
7,40,-83
40,20,-33
2,40,-14
6,40,-90
40,25,-81
0,40,48
8,40,89
40,20,-124
17,40,76
8,40,89
17,40,94
5,40,-127
16,40,49
40,20,-79
11,40,-127
40,22,-93
18,40,-88
14,41,-18
41,28,-95
7,41,-83
2,41,-14
41,25,-81
0,41,55
8,41,89
41,20,-122
17,41,77
8,41,89
17,41,94
5,41,-119
16,41,49
41,20,-78
11,41,-127
41,22,-93
7,41,-108
41,24,-20
14,41,28
6,41,121
41,20,-103
7,41,-127
41,20,-44
17,41,82
7,41,-83
41,20,-23
2,41,-23
6,41,-90
41,25,-81
0,41,55
8,41,89
41,20,-112
17,41,72
8,41,89
17,41,94
16,41,35
41,20,-79
11,41,-127
41,22,-93
7,41,-109
17,41,82
41,24,-20
14,41,28
6,41,121
41,20,-103
7,41,-122
41,20,-45
17,41,82
4,41,37
2,41,104
13,42,-10
42,20,5
9,43,-55
43,27,-8
19,44,-21
44,28,-111
19,29,7
7,39,-109
17,39,82
39,20,-118
39,20,-44
17,39,82
39,25,-106
39,25,-106
13,39,-10
39,20,5
26,24,64
45,20,-118
7,45,-109
45,20,-44
17,45,82
45,24,-20
15,45,-77
45,25,-106
15,45,-61
45,25,-106
46,20,-118
7,46,-109
46,20,-44
17,46,82
46,24,-20
15,46,-77
46,25,-106
15,46,-61
46,25,-106
47,20,-111
7,47,-109
47,20,-44
17,47,82
47,24,-20
15,47,-61
47,25,-106
15,47,-61
47,25,-106
6,47,87
47,28,-71
18,47,61
47,21,-69
10,47,-31
47,22,-13
17,47,-97
11,47,-127
47,22,-93
13,48,-4
48,20,5
9,49,32
49,21,-48
19,49,-13
49,28,-111
17,49,29
49,21,-60
9,50,32
50,21,-48
19,50,-13
50,28,-111
17,50,29
50,21,-60
7,51,-109
17,51,82
51,24,-20
14,51,28
6,51,121
51,20,-103
7,51,-122
51,20,-45
17,51,79
4,51,37
11,51,-127
51,22,-83
17,51,-56
51,28,-127
52,20,-127
7,52,-109
52,20,-44
17,52,82
52,24,-20
15,52,-61
52,25,-106
15,52,-61
52,25,-106
18,53,75
53,24,-34
13,54,-10
54,20,5
54,20,-111
7,54,-109
54,20,-44
17,54,82
54,24,-20
15,54,-61
54,25,-106
15,54,-42
54,25,-106
6,54,87
54,28,-71
18,54,61
54,21,-69
10,54,-31
54,22,-13
17,54,-97
11,54,-127
54,22,-93
22,48,-39
55,20,5
13,55,-10
55,20,5
44,55,-42
