source_node,target_node,weight
7,28,-84
6,21,77
9,20,101
15,29,-15
7,30,-65
30,25,-78
2,31,63
31,27,45
16,32,-33
32,20,126
18,22,-42
25,20,94
1,27,-18
6,27,108
33,26,6
34,24,17
17,34,83
34,25,-98
17,34,87
34,25,-104
17,34,-26
2,34,57
34,26,-18
12,34,-3
11,33,21
33,20,33
16,33,-60
1,23,10
19,21,-39
15,29,-29
12,35,82
35,28,35
19,36,63
9,37,-118
37,27,-42
3,38,108
15,38,-15
7,38,-65
38,25,-66
5,38,-115
38,25,120
25,38,-127
1,38,85
11,38,102
38,24,-89
15,35,-17
35,27,64
33,35,36
32,26,43
32,20,33
3,38,21
38,25,-42
7,38,65
38,22,14
38,25,-61
38,22,27
7,38,56
38,22,52
0,38,-64
0,29,-21
29,20,-116
32,20,-25
3,34,-100
15,37,-27
38,29,86
32,21,-106
13,39,-111
39,23,-91
34,31,-31
2,40,74
40,27,45
26,40,-12
19,40,73
40,27,127
18,40,100
36,29,50
35,27,34
37,23,-127
15,42,-26
15,42,-30
0,42,-11
42,20,-125
23,23,20
15,43,-87
43,23,-1
6,44,-42
44,20,9
3,45,108
15,45,4
7,45,-55
45,25,-66
5,45,-118
45,25,125
25,45,-124
1,45,85
11,45,102
45,24,-89
45,25,-32
7,45,78
45,22,14
45,25,-51
45,22,27
45,25,-61
7,45,56
45,22,47
0,45,-64
12,43,-127
43,22,43
43,28,25
43,25,110
19,43,-36
43,20,76
43,27,-49
15,43,-15
43,21,116
6,43,44
43,21,113
6,43,57
12,43,38
16,43,-112
1,43,8
43,25,-58
7,43,66
43,22,47
11,43,82
14,43,117
3,43,28
7,43,79
43,22,14
43,25,-61
43,22,47
43,25,-61
3,43,32
43,25,-42
43,22,14
43,25,-70
43,22,47
43,25,-61
43,22,68
43,25,68
3,43,25
43,25,-42
7,43,73
43,22,27
17,43,-57
43,25,-76
43,22,47
43,27,41
3,43,108
15,43,-15
7,43,-65
25,43,-124
1,43,76
11,43,109
3,43,12
43,25,-37
43,22,14
43,25,-76
43,22,26
43,25,-61
7,43,28
43,22,47
0,43,-64
0,46,-21
46,20,-125
19,47,88
47,22,-103
2,47,-84
16,48,-32
48,20,126
48,26,49
48,20,-28
48,21,-112
12,49,82
49,28,50
15,49,-17
49,27,64
15,49,100
9,50,-118
50,27,-42
15,50,-15
15,50,-30
15,51,-92
51,25,-72
15,52,-110
52,25,-72
19,36,87
53,24,12
17,53,66
53,25,-89
17,53,87
53,25,-27
2,53,57
53,26,-7
12,53,-3
3,53,-100
18,30,18
30,22,-43
28,30,1
6,30,-37
22,30,-3
3,30,116
20,30,41
54,28,42
54,25,110
54,20,91
54,27,-43
54,21,116
6,54,44
15,54,-15
54,21,113
6,54,41
54,22,-63
12,54,36
16,54,-97
54,28,-117
1,54,23
54,25,-51
54,22,47
14,54,102
54,28,44
27,54,-16
3,54,21
54,22,14
54,25,-61
54,22,47
54,25,-61
7,54,41
54,22,47
3,54,28
54,25,-42
7,54,65
54,22,3
54,22,52
54,25,-45
7,54,41
54,22,47
18,54,-105
54,25,51
2,54,74
54,27,23
54,26,32
54,20,33
15,54,-15
15,54,-30
0,54,-21
54,20,-110
17,51,-120
30,28,26
30,25,127
19,30,-50
30,20,91
30,27,-49
15,30,-15
30,21,96
6,30,44
30,21,113
