Neuromorphic SCA: EONS Training
Loading dataset from ../ATMEGA-AES-ASCAD_databases/ascad_modulated.h5...
Dataset loaded! Traces: 6000, Length: 700
Initializing engine...

>>> SUCCESS: 4 checkpoints found! Injecting seeds...

Generation 0 | Best Fitness: 0.509999 | Neurons (hidden): 34 | Synapses: 46
Generation 1 | Best Fitness: 0.509999 | Neurons (hidden): 34 | Synapses: 46
Generation 2 | Best Fitness: 0.509999 | Neurons (hidden): 34 | Synapses: 46
Generation 3 | Best Fitness: 0.509999 | Neurons (hidden): 34 | Synapses: 46
Generation 4 | Best Fitness: 0.509999 | Neurons (hidden): 34 | Synapses: 46
Generation 5 | Best Fitness: 0.509999 | Neurons (hidden): 34 | Synapses: 46
Generation 6 | Best Fitness: 0.509999 | Neurons (hidden): 34 | Synapses: 46
Generation 7 | Best Fitness: 0.509999 | Neurons (hidden): 34 | Synapses: 46
Generation 8 | Best Fitness: 0.509999 | Neurons (hidden): 34 | Synapses: 46
Generation 9 | Best Fitness: 0.509999 | Neurons (hidden): 34 | Synapses: 46
Generation 10 | Best Fitness: 0.509999 | Neurons (hidden): 34 | Synapses: 46
Generation 11 | Best Fitness: 0.509999 | Neurons (hidden): 34 | Synapses: 46
Generation 12 | Best Fitness: 0.509999 | Neurons (hidden): 34 | Synapses: 46
Generation 13 | Best Fitness: 0.509999 | Neurons (hidden): 34 | Synapses: 46
Generation 14 | Best Fitness: 0.509999 | Neurons (hidden): 34 | Synapses: 46
Generation 15 | Best Fitness: 0.509999 | Neurons (hidden): 34 | Synapses: 46
Generation 16 | Best Fitness: 0.509999 | Neurons (hidden): 34 | Synapses: 46
Generation 17 | Best Fitness: 0.509999 | Neurons (hidden): 34 | Synapses: 46
Generation 18 | Best Fitness: 0.509999 | Neurons (hidden): 34 | Synapses: 46
Generation 19 | Best Fitness: 0.509999 | Neurons (hidden): 34 | Synapses: 46
Generation 20 | Best Fitness: 0.509999 | Neurons (hidden): 34 | Synapses: 46
Generation 21 | Best Fitness: 0.509999 | Neurons (hidden): 34 | Synapses: 46
Generation 22 | Best Fitness: 0.509999 | Neurons (hidden): 34 | Synapses: 46
Generation 23 | Best Fitness: 0.509999 | Neurons (hidden): 34 | Synapses: 46
