source_node,target_node,weight
0,20,3
1,20,-4
2,20,4
3,20,2
4,20,-1
5,20,4
6,20,-4
7,20,2
8,20,-2
9,20,3
11,20,4
13,20,-4
14,20,5
15,20,1
16,20,-2
18,20,-1
19,20,-1
0,21,-1
2,21,1
3,21,2
4,21,-2
5,21,-2
6,21,2
7,21,3
8,21,1
9,21,-2
10,21,1
11,21,-1
12,21,1
13,21,2
16,21,-1
17,21,-1
18,21,1
19,21,-2
0,22,1
1,22,1
2,22,-2
4,22,2
5,22,-1
6,22,1
11,22,-1
12,22,1
15,22,-1
5,23,-1
8,23,2
9,23,-1
10,23,1
13,23,6
14,23,1
15,23,-1
17,23,1
1,24,1
2,24,-1
4,24,-1
6,24,2
8,24,-3
9,24,-1
10,24,1
12,24,-1
18,24,1
5,25,-1
6,25,1
9,25,-1
10,25,1
11,25,-1
12,25,-1
14,25,-1
16,25,-1
17,25,1
18,25,1
1,26,-1
2,26,1
3,26,-1
5,26,-2
6,26,1
9,26,-2
12,26,1
14,26,-2
17,26,1
18,26,1
0,27,1
2,27,-2
3,27,-3
4,27,3
5,27,-2
6,27,-1
7,27,-1
8,27,1
9,27,1
11,27,-1
12,27,-2
13,27,1
14,27,-2
15,27,-1
16,27,2
17,27,-1
19,27,2
0,28,-4
1,28,2
3,28,-1
4,28,1
5,28,5
6,28,-2
7,28,-2
8,28,-3
9,28,4
10,28,-5
11,28,-1
12,28,1
13,28,1
15,28,2
16,28,1
18,28,-3
19,28,3
23,20,20
9,29,107
29,27,-54
14,30,62
30,25,-111
14,31,62
31,25,-111
0,32,-100
32,23,-83
7,32,67
32,23,-9
14,32,125
32,25,-29
31,23,-83
7,31,67
31,23,-9
14,31,125
31,25,-29
14,31,62
31,25,-111
0,31,-100
31,23,-83
7,31,67
31,23,-9
14,31,125
31,25,-29
0,31,-100
31,23,-83
7,31,67
31,23,-9
14,31,125
31,25,-29
9,29,107
29,27,-54
22,29,-7
27,29,112
